#ID	Galaxy2667-__ob__Report__Kraken2_on_data_2608_and_data_2607__cb__.tabular	Galaxy2669-__ob__Report__Kraken2_on_data_2610_and_data_2609__cb__.tabular	Galaxy2671-__ob__Report__Kraken2_on_data_2612_and_data_2611__cb__.tabular	Galaxy2673-__ob__Report__Kraken2_on_data_2614_and_data_2613__cb__.tabular
Staphylococcus_schleiferi	0	0	1	0
Bacillus_cellulosilyticus	1	0	0	0
Bacillus_sp._B1018	0	0	0	1
Bacillus_mycoides	0	1	0	0
Bacillus_thuringiensis	0	0	0	1
Bacillus_atrophaeus	1	0	0	0
Virgibacillus_pantothenticus	0	0	1	0
Planococcus_kocurii	1	0	0	1
Sporosarcina_psychrophila	1	0	0	0
Sporosarcina_sp._K2-28-011	1	0	0	0
Planomicrobium_okeanokoites	1	0	1	3
Listeria_monocytogenes	1	0	0	0
Sporolactobacillus_inulinus	2	0	0	0
Sporolactobacillus_laevus	0	0	0	1
Streptococcus_suis	0	0	0	1
Streptococcus_sp._'group_G'	1	0	0	0
Streptococcus_sp._G148	0	0	1	0
Streptococcus_porcinus	0	0	1	0
Streptococcus_ratti	0	0	0	1
Streptococcus_iniae	0	0	0	1
Streptococcus_intermedius	0	0	0	1
Lactococcus_lactis	1	0	0	0
Lactococcus_piscium	0	1	0	0
Pediococcus_acidilactici	1	0	0	0
Lactobacillus_buchneri	1	0	0	1
Lactobacillus_pentosus	1	0	0	0
Lactobacillus_sp.	0	0	1	1
Lactobacillus_sakei	0	0	0	1
Lactobacillus_acetotolerans	0	0	1	0
Lactobacillus_agilis	2	0	0	0
Lactobacillus_amylophilus	0	0	1	0
Lactobacillus_fructivorans	0	0	0	1
Lactobacillus_sanfranciscensis	0	1	0	0
Leuconostoc_carnosum	0	0	1	0
Enterococcus_gallinarum	0	0	0	1
Enterococcus_hirae	0	0	1	0
Alloiococcus_otitis	1	0	0	0
Carnobacterium_maltaromaticum	0	1	0	0
Carnobacterium_funditum	0	1	0	0
Sporohalobacter_lortetii	0	1	0	0
Moorella_thermoacetica	1	0	0	0
Clostridium_acetobutylicum	0	1	0	1
Clostridium_butyricum	1	0	0	0
Clostridium_cochlearium	0	0	0	1
Clostridium_longisporum	0	0	0	1
Syntrophomonas_wolfei	0	0	0	1
Roseburia_cecicola	0	0	1	0
[Clostridium]_aminovalericum	0	0	1	0
Peptostreptococcus_glycinophilus	1	0	0	0
Peptostreptococcus_anaerobius	2	0	0	0
[Clostridium]_bifermentans	1	0	0	0
Peptoclostridium_difficile	0	0	0	1
[Clostridium]_sticklandii	0	0	1	0
Eubacterium_barkeri	0	0	1	0
Desulfotomaculum_australicum	1	0	0	0
Gottschalkia_acidurici	1	0	0	0
Ruminococcus_albus	1	0	0	0
Ruminococcus_flavefaciens	0	0	1	0
Faecalibacterium_prausnitzii	0	0	1	1
Symbiobacterium_thermophilum	0	0	1	0
Finegoldia_magna	0	0	0	1
Megasphaera_elsdenii	1	0	0	0
Thermus_aquaticus	1	0	1	1
Thermus_caldophilus	1	2	1	2
Thermus_thermophilus	5	1	0	3
Thermus_sp.	1	0	0	3
Thermus_filiformis	1	1	0	4
Meiothermus_ruber	0	0	2	1
halophilic_eubacterium_NRCC_41227	75	51	76	62
halophilic_eubacterium	71	61	50	57
unidentified_bacterium_ZF1	0	0	0	1
marine_sponge_bacterium_FILTER6B103	0	0	0	1
Fusobacterium_gonidiaformans	1	0	0	1
Fusobacterium_simiae	0	0	0	1
Fusobacterium_periodonticum	0	0	0	1
Propionigenium_modestum	2	0	0	0
Leptospirillum_sp.	1	0	7	0
Leptospirillum_ferrooxidans	3	4	4	4
uncultured_bacterium_'eubacterium_sp.'	0	1	0	0
uncultured_bacterium_VC2.1_Bac20	0	0	0	1
Chlamydia_trachomatis	1	0	0	0
Dictyoglomus_thermophilum	142	139	145	159
Flavobacterium_sp.	1	1	2	1
Flavobacterium_sp._141-8	0	1	0	1
Flavobacterium_sp._SC12154	1	1	0	3
Flavobacterium_sp._U-188	4	1	0	3
Flavobacterium_aquatile	0	0	0	1
Flavobacterium_johnsoniae	1	0	0	0
Capnocytophaga_gingivalis	0	1	1	0
Polaribacter_glomeratus	13	2	3	12
Polaribacter_irgensii	0	0	1	0
Chryseobacterium_balustinum	0	0	1	2
Chryseobacterium_gleum	1	2	0	4
Chryseobacterium_indologenes	0	0	2	1
Chryseobacterium_indoltheticum	1	1	0	0
Empedobacter_brevis	0	1	1	1
Bergeyella_zoohelcum	0	0	0	1
Myroides_odoratus	3	0	0	2
Psychroflexus_gondwanensis	0	1	1	2
Aquimarina_latercula	2	0	0	0
Elizabethkingia_meningoseptica	2	0	2	1
Sphingobacterium_spiritivorum	1	0	1	2
Sphingobacterium_thalpophilum	3	0	2	2
Haliscomenobacter_hydrossis	1	0	0	0
Terrimonas_ferruginea	4	1	1	4
Bacteroides_thetaiotaomicron	0	0	0	1
Parabacteroides_distasonis	1	0	0	1
Prevotella_ruminicola	1	0	0	0
Flectobacillus_major	4	2	5	13
Runella_slithyformis	7	5	5	8
Spirosoma_linguale	12	7	1	12
Flexibacter_flexilis	0	0	1	0
Flexibacter_litoralis	0	1	0	1
Flexibacter_polymorphus	0	0	1	0
Flexibacter_ruber	0	0	1	0
Flexibacter_sp.	0	0	0	1
Marivirga_sericea	0	0	0	1
Cyclobacterium_marinum	8	4	5	10
Chlorobium_limicola	0	1	0	0
Pelodictyon_luteolum	0	0	0	1
Heliothrix_oregonensis	0	1	0	0
Herpetosiphon_aurantiacus	13	14	7	23
Thermomicrobium_roseum	1	0	0	0
Actinomyces_bovis	0	0	0	1
Bifidobacterium_angulatum	1	0	0	0
Bifidobacterium_magnum	0	0	1	0
Arthrobacter_glacialis	0	0	0	1
[Cellvibrio]_gilvus	181	159	194	164
Cellulomonas_fimi	0	0	0	1
Cellulomonas_gelida	1	0	0	0
Cellulosimicrobium_cellulans	1	0	0	0
Brevibacterium_linens	0	0	0	1
Corynebacterium_stationis	0	0	0	1
Corynebacterium_glutamicum	1	0	0	0
Mycobacterium_kansasii	0	0	0	1
Mycobacterium_flavescens	0	0	1	0
Mycobacterium_aurum	0	0	0	2
Mycobacterium_senegalense	0	0	1	0
Rhodococcus_ruber	1	0	0	0
Propionibacterium_freudenreichii	0	1	0	0
Pimelobacter_simplex	0	1	0	0
Amycolatopsis_methanolica	1	0	0	0
Pseudonocardia_nitrificans	0	0	1	0
Saccharomonospora_viridis	0	1	0	0
Streptomyces_antibioticus	0	0	1	0
Streptomyces_avidinii	0	0	0	1
Streptomyces_carzinostaticus	0	0	1	0
Streptomyces_rubiginosus	0	0	1	0
Streptomyces_violaceoruber	1	0	0	0
Streptomyces_violaceus	0	0	1	0
Streptomyces_diastaticus	0	0	1	0
Streptomyces_sp._K15	1	0	0	0
Streptomyces_virginiae	0	1	0	0
Streptomyces_olivochromogenes	0	0	1	0
Streptomyces_cellulosae	1	0	0	1
Streptomyces_wedmorensis	1	0	0	0
Streptomyces_anulatus	0	0	1	0
Microtetraspora_glauca	1	0	0	0
Streptosporangium_amethystogenes	0	1	0	0
Gemmata_obscuriglobus	7	2	2	8
Pirellula_sp.	4	1	8	12
Pirellula_staleyi	6	4	5	8
Isosphaera_pallida	6	4	3	4
Blastopirellula_marina	4	1	1	10
Gimesia_maris	8	3	1	10
Planctopirus_limnophilus	4	1	1	7
Rubinisphaera_brasiliensis	4	8	5	6
Spirochaeta_aurantia	4	1	1	2
Spirochaeta_bajacaliforniensis	6	4	2	0
Spirochaeta_halophila	7	1	2	4
Spirochaeta_isovalerica	4	3	2	4
Spirochaeta_litoralis	4	2	2	3
Spirochaeta_thermophila	2	2	0	4
Treponema_stenostrepta	4	3	3	6
Treponema_zuelzerae	3	5	2	10
Treponema_denticola	1	6	5	8
Treponema_pallidum	4	1	0	4
Treponema_phagedenis	0	3	3	4
Treponema_bryantii	3	3	2	7
Treponema_pectinovorum	8	2	1	1
Treponema_saccharophilum	1	2	3	4
Treponema_sp.	4	1	1	3
Treponema_succinifaciens	8	1	2	2
wall-less_spirochete	0	2	1	2
Borrelia_hermsii	4	3	2	6
Borrelia_parkeri	4	3	6	5
Borrelia_turicatae	3	1	1	6
Borrelia_anserina	2	4	5	9
Borrelia_coriaceae	7	5	1	4
Borrelia_sp.	2	2	2	7
Borrelia_burgdorferi	1	3	3	7
Brachyspira_hyodysenteriae	5	1	1	5
Leptospira_biflexa	0	0	1	6
Leptospira_interrogans	3	2	0	1
Leptospira_borgpetersenii	3	0	3	4
Leptospira_sp.	3	3	2	5
Leptonema_illini	3	1	0	4
Mycoplasma_bovigenitalium	1	0	0	0
Mycoplasma_californicum	1	0	0	0
Mycoplasma_fermentans	0	0	0	1
Mycoplasma_muris	0	1	0	0
Mycoplasma_sualvi	0	1	0	0
Mycoplasma_leachii	0	1	0	0
Spiroplasma_taiwanense	0	0	0	1
Acholeplasma_modicum	0	0	0	1
Anaeroplasma_bactoclasticum	0	0	0	1
Pyrobaculum_islandicum	0	1	0	0
Methanobacterium_formicicum	0	0	0	1
Methanobacterium_ivanovii	0	0	1	0
Haloferax_lucentense	1	0	0	0
Thermococcus_celer	0	0	0	1
Methanohalophilus_halophilus	0	0	1	0
Methanosaeta_thermophila	0	0	0	1
Palmaria_palmata	0	0	0	1
Gracilaria_gracilis	0	1	0	0
Gracilaria_tikvahiae	0	0	0	1
Cryptomonas_sp.	0	0	1	0
Gonium_quadratum	1	0	0	0
Characium_perforatum	1	0	0	0
Gloeotilopsis_sterilis	0	0	1	0
Botryococcus_braunii	0	0	0	1
'Chlorella'_mirabilis	0	1	0	0
Dieffenbachia_humilis	0	0	0	1
Medeola_virginiana	0	1	0	0
Commelina_communis	0	0	0	1
Zea_mays	1	0	0	0
Aegilops_columnaris	0	1	0	0
Triticum_sp.	0	1	0	0
Agropyron_cristatum	0	0	1	0
Ranunculus_pseudotrullifolius	1	0	0	0
Arcteranthis_cooleyae	1	0	0	0
Trianthema_portulacastrum	1	0	0	0
Synsepalum_dulcificum	0	0	1	0
Pleioluma_longipetiolata	1	0	0	0
Pterospora_andromedea	1	0	0	0
Stuartina_muelleri	0	0	0	1
Ambrosia_trifida	0	0	1	0
Dubautia_arborea	0	0	0	1
Rauvolfia_mannii	0	1	0	0
Cyphanthera_anthocercidea	0	1	0	0
Nicotiana_nudicaulis	0	0	0	1
Erythranthe_laciniata	0	0	0	1
Erythranthe_nudata	0	0	0	1
Parthenocissus_quinquefolia	1	0	0	0
Populus_deltoides	0	0	1	0
Suregada_multiflora	0	0	0	1
Linum_comptonii	0	0	1	0
Artocarpus_integer	1	0	0	0
Cucurbita_maxima	0	1	0	0
Oxalis_dillenii	0	0	1	0
Bauhinia_purpurea	0	1	0	0
Albizia_julibrissin	1	0	0	0
Phaseolus_lunatus	0	0	1	0
Swartzia_longicarpa	1	0	0	0
Citrus_ichangensis	1	0	0	0
Gossypium_barbadense	0	0	1	0
Oenothera_berteroana	0	0	1	0
Povedadaphne_quadriporata	0	1	0	0
Picea_glauca	1	0	0	0
Welwitschia_mirabilis	0	1	0	0
Ephedra_kokanica	0	1	0	0
Diplazium_pullingeri	0	0	0	1
Lycopodium_clavatum	0	0	0	1
Glomus_sp._UY1184.10	0	1	0	0
Glomus_sp._1a4.2-2	0	0	1	0
Debaryomyces_hansenii	0	0	1	0
Candida_palmioleophila	0	0	0	1
Sarcoscypha_javensis	0	1	0	0
Fusarium_graminearum	0	0	0	1
Oceanitis_unicaudata	0	0	1	0
Podospora_anserina	0	1	0	0
Tremella_mesenterica	0	0	0	1
Heliocybe_sulcata	0	0	1	0
Trametes_hirsuta	0	0	0	1
Postia_placenta	0	0	1	0
Lentinus_tigrinus	0	0	0	1
Thelephoraceae_sp._AT97LC55b	0	0	0	1
Sporobolomyces_ruber	0	0	0	1
Phleogena_faginea	0	1	0	0
Sporobolomyces_gracilis	0	0	1	0
Entacmaea_quadricolor	0	0	0	1
Eunicella_stricta	1	0	0	0
Lobophytum_legitimum	0	0	0	1
Taenia_crassiceps	0	0	0	1
Raillietina_sp._3_Nebraska	0	1	0	0
Tachypleus_tridentatus	0	0	0	1
Hottentotta_judaicus	1	0	0	0
Libellula_auripennis	0	1	0	0
Henicocoris_monteithi	0	0	0	1
Hemiptera_sp._BOLD:AAO8382	0	0	0	1
Carabus_circassicus	0	1	0	0
Culex_quinquefasciatus	0	0	0	1
Drosophila_mulleri	0	0	1	0
Drosophila_arizonae	1	0	0	0
Vespa_crabro	0	1	0	0
Trichogramma_parkeri	1	0	0	0
Hymenoptera_sp._BOLD:AAK4373	1	0	0	0
Catasticta_cerberus	0	0	0	1
Lepidoptera_sp._BOLD:AAI3149	0	0	1	0
Conus_tulipa	1	0	0	0
Amphiarius_rugispinis	0	1	0	0
Oncorhynchus_mykiss	1	0	0	0
Badis_sp._Assam-LR-2003	0	0	0	1
Cynodonichthys_magdalenae	0	0	0	1
Microgadus_proximus	1	0	0	0
Varanus_albigularis	1	0	0	0
Naja_melanoleuca	1	0	0	0
Bitis_nasicornis	1	0	0	0
Sistrurus_miliarius	0	0	0	1
Sitta_whiteheadi	0	0	0	1
Colaptes_rupicola	0	0	1	0
Aix_sp.	0	1	0	0
Dendrocygna_autumnalis	0	1	0	0
Phasianus_colchicus	0	0	0	1
Equus_grevyi	0	1	0	0
Martes_americana	0	1	0	0
Rangifer_tarandus	0	0	1	0
Giraffa_camelopardalis	0	0	0	1
Callithrix_jacchus	0	0	1	0
Cratogeomys_fumosus	1	0	0	0
Mordacia_mordax	0	0	0	1
Tetrahymena_pigmentosa	1	0	0	0
Cylindrotheca_fusiformis	0	0	0	1
Achlya_bisexualis	0	0	0	1
Phytophthora_cinnamomi	0	1	0	0
Pteridomonas_danica	0	1	0	0
Dictyota_dichotoma	0	0	0	1
Petalonia_fascia	1	0	0	0
Leishmania_guyanensis	1	0	0	0
Francisella_tularensis_subsp._novicida	4	1	1	0
Pseudomonas_chlororaphis_subsp._chlororaphis	1	2	1	1
Klebsiella_pneumoniae_subsp._ozaenae	0	1	0	1
Photobacterium_leiognathi_subsp._leiognathi	0	0	1	0
Alicyclobacillus_acidocaldarius_subsp._acidocaldarius	0	0	1	0
Clostridium_estertheticum_subsp._estertheticum	0	0	0	1
Fibrobacter_succinogenes_subsp._succinogenes	0	1	0	1
Treponema_pallidum_subsp._pallidum	4	1	5	6
Treponema_pallidum_subsp._pertenue	4	1	3	1
Agkistrodon_piscivorus_piscivorus	1	0	0	0
Passiflora_moluccana_var._glaberrima	1	0	0	0
