#ID	Report: Kraken2 on data 2744 and data 2743	Report: Kraken2 on data 2748 and data 2747	Report: Kraken2 on data 2754 and data 2753	Report: Kraken2 on data 2758 and data 2757
Desulfovibrio_africanus	0	0	0	1
Desulfovibrio_gigas	1	0	0	0
Desulfovibrio_salexigens	1	0	0	0
Desulfovibrio_sp.	1	0	0	0
Desulfovibrio_longus	1	1	0	0
Desulfomicrobium_baculatum	1	0	0	1
Desulfobotulus_sapovorans	0	0	0	1
Desulfobulbus_sp.	1	0	0	0
Bdellovibrio_bacteriovorus	1	0	0	0
Helicobacter_pylori	3	0	2	5
Helicobacter_sp._CLO-3	3	3	5	3
Helicobacter_acinonychis	4	4	0	6
Helicobacter_cinaedi	5	0	2	4
Helicobacter_felis	3	2	0	5
Helicobacter_fennelliae	3	1	1	6
Helicobacter_muridarum	5	0	2	7
Helicobacter_mustelae	2	2	2	4
Helicobacter_sp.	2	1	1	4
Wolinella_succinogenes	0	1	0	0
Thiovulum_sp.	0	0	0	1
Flexispira_rappini	0	1	0	0
Campylobacter_coli	5	0	0	5
Campylobacter_fetus	1	1	1	5
Campylobacter_jejuni	1	2	2	4
Campylobacter_hyointestinalis	3	1	5	3
Campylobacter_concisus	4	3	1	4
Campylobacter_curvus	6	3	1	3
Campylobacter_lari	2	2	1	2
Campylobacter_mucosalis	2	0	2	6
Campylobacter_rectus	7	2	2	3
Campylobacter_showae	5	5	3	3
Campylobacter_sp.	5	1	5	4
Campylobacter_sputorum	1	4	1	4
Campylobacter_jejuni-like_bacterium	2	3	1	1
Campylobacter_ureolyticus	0	1	0	0
Staphylococcus_aureus	0	0	0	1
Staphylococcus_simulans	0	0	0	1
Staphylococcus_gallinarum	1	0	0	0
Staphylococcus_muscae	1	0	0	0
Staphylococcus_schleiferi	0	1	1	0
Bacillus_pumilus	0	0	0	1
Bacillus_alcalophilus	0	0	0	1
Bacillus_methanolicus	0	0	0	1
Bacillus_simplex	1	0	0	0
Bacillus_smithii	1	0	0	0
Bacillus_anthracis	2	0	0	0
Bacillus_mycoides	1	0	0	0
Bacillus_sp._IDA3943	1	0	0	0
Bacillus_sp._E-006	0	0	0	1
Bacillus_licheniformis	1	0	0	0
Geobacillus_stearothermophilus	0	0	2	0
Geobacillus_kaustophilus	1	0	0	0
Psychrobacillus_insolitus	0	1	0	0
Planococcus_citreus	0	0	1	0
Planococcus_kocurii	1	0	0	0
Sporosarcina_globispora	0	0	0	1
Sporosarcina_pasteurii	0	0	0	1
Planomicrobium_okeanokoites	1	1	0	0
Brochothrix_campestris	0	0	0	1
Paenibacillus_lautus	0	0	0	1
Paenibacillus_polymyxa	0	1	0	0
Paenibacillus_larvae	0	0	0	1
Paenibacillus_sp._GP08-05	1	0	0	0
Brevibacillus_brevis	0	0	0	1
Lactobacillus_thermophilus	0	0	0	1
Streptococcus_gordonii	0	0	1	0
Streptococcus_salivarius	0	1	0	0
Streptococcus_sanguinis	1	0	0	0
Streptococcus_sp.	1	0	0	0
Streptococcus_mutans	1	0	0	0
Streptococcus_agalactiae	0	1	0	1
Streptococcus_sp._'group_B'	1	0	0	0
Streptococcus_sp._GX7805	0	1	0	0
Streptococcus_acidominimus	0	0	0	1
Streptococcus_criceti	1	0	0	1
Streptococcus_equinus	0	1	0	0
Streptococcus_hyointestinalis	0	0	1	0
Streptococcus_macacae	1	0	0	0
Lactobacillus_brevis	0	0	1	0
Lactobacillus_buchneri	1	1	0	0
Lactobacillus_pentosus	0	1	0	0
Lactobacillus_acetotolerans	0	0	0	1
Lactobacillus_farciminis	0	0	1	0
Lactobacillus_fermentum	1	1	0	0
Lactobacillus_vermiforme	0	0	1	0
Lactobacillus_paracasei	1	0	0	0
Leuconostoc_gelidum	0	0	0	1
Oenococcus_oeni	1	0	0	0
Weissella_kandleri	0	0	1	0
Enterococcus_faecium	0	1	0	1
Halanaerobium_praevalens	2	0	0	0
Clostridium_acetobutylicum	0	0	0	1
Clostridium_cellulovorans	1	0	0	0
Clostridium_pasteurianum	0	0	0	2
Clostridium_tetani	0	0	1	0
Clostridium_beijerinckii	1	0	0	0
Clostridium_longisporum	0	1	0	0
Clostridium_fallax	0	1	0	0
Clostridium_scatologenes	0	0	1	1
Clostridium_subterminale	0	0	0	1
Clostridium_aurantibutyricum	0	0	0	1
Clostridiaceae_bacterium_FH042	0	0	0	1
Roseburia_cecicola	2	1	0	0
Acetitomaculum_ruminis	1	0	0	0
Blautia_coccoides	0	0	1	0
Peptostreptococcus_glycinophilus	0	0	1	0
Peptostreptococcus_sp.	1	0	0	0
Romboutsia_lituseburensis	1	0	0	0
Eubacterium_acidaminophilum	1	0	0	0
[Clostridium]_sporosphaeroides	0	0	0	1
Symbiobacterium_toebii	0	0	1	0
Finegoldia_magna	0	1	0	0
Erysipelatoclostridium_ramosum	0	0	1	0
Holdemanella_biformis	0	0	0	1
Faecalicoccus_pleomorphus	0	0	1	0
Selenomonas_ruminantium	2	0	0	0
Acidaminococcus_fermentans	0	0	1	1
Thermus_aquaticus	3	0	0	1
Thermus_caldophilus	1	1	2	6
Thermus_thermophilus	1	0	0	3
Thermus_sp.	4	0	0	1
Thermus_filiformis	1	1	1	1
Meiothermus_ruber	1	1	0	1
Deinococcus_radiodurans	0	0	1	0
halophilic_eubacterium_NRCC_41227	79	59	65	59
halophilic_eubacterium	69	63	56	66
unidentified_eubacterium_clone_BSV70	1	0	0	0
Fusobacterium_mortiferum	0	0	1	0
Fusobacterium_perfoetens	1	0	0	1
Fusobacterium_russii	0	1	0	1
Fusobacterium_simiae	0	0	0	1
Fusobacterium_necrogenes	1	1	1	0
Fusobacterium_necrophorum	2	1	0	0
Leptospirillum_sp.	10	3	1	6
Leptospirillum_ferrooxidans	3	5	4	9
unidentified_marine_eubacterium_clone_HT1203	1	0	0	0
Dictyoglomus_thermophilum	120	148	133	120
Flavobacterium_sp.	2	0	1	4
Flavobacterium_sp._141-8	1	0	1	2
Flavobacterium_sp._SC12154	1	0	0	3
Flavobacterium_sp._U-188	1	1	1	2
Flavobacterium_aquatile	0	2	1	2
Flavobacterium_sp._K172	2	1	1	1
Flavobacterium_johnsoniae	1	0	0	0
Flavobacterium_columnare	1	0	0	0
Weeksella_virosa	0	0	0	1
Capnocytophaga_gingivalis	0	0	0	1
Capnocytophaga_sputigena	0	0	1	0
Polaribacter_glomeratus	18	6	7	12
Polaribacter_irgensii	0	0	0	1
Chryseobacterium_balustinum	2	0	1	3
Chryseobacterium_gleum	0	1	1	8
Chryseobacterium_indologenes	1	0	1	2
Chryseobacterium_indoltheticum	2	1	2	0
Empedobacter_brevis	0	0	2	3
Myroides_odoratus	5	1	1	2
Psychroflexus_gondwanensis	3	1	0	4
Leeuwenhoekiella_marinoflava	0	0	0	1
Elizabethkingia_meningoseptica	3	0	3	5
Sphingobacterium_spiritivorum	3	0	3	1
Sphingobacterium_thalpophilum	2	1	1	1
Sphingobacterium_mizutaii	0	1	0	0
Pedobacter_heparinus	0	0	1	0
Terrimonas_ferruginea	3	2	2	1
Bacteroides_thetaiotaomicron	1	0	0	1
Bacteroides_uniformis	0	0	1	0
Bacteroides_vulgatus	0	0	1	0
Parabacteroides_distasonis	0	0	0	1
Prevotella_ruminicola	1	0	1	0
Prevotella_loescheii	1	0	0	1
Marinilabilia_salmonicolor	0	0	0	1
Flectobacillus_major	10	11	8	18
Runella_slithyformis	7	5	6	14
Spirosoma_linguale	7	6	6	9
Flexibacter_elegans	0	0	0	1
Flexibacter_flexilis	0	1	0	0
Flexibacter_litoralis	0	1	0	1
Flexibacter_polymorphus	1	0	0	0
Flexibacter_sp.	0	0	0	1
Marinoscillum_furvescens	1	0	0	0
Marivirga_tractuosa	1	0	0	0
Cyclobacterium_marinum	8	7	6	9
Prosthecochloris_vibrioformis	1	0	0	0
Chlorobium_sp.	1	1	0	0
Fibrobacter_succinogenes	0	1	0	0
Hydrogenobacter_thermophilus	2	0	0	0
Desulfurobacterium_pacificum	0	0	1	0
Herpetosiphon_aurantiacus	29	25	10	16
Thermomicrobium_roseum	0	0	0	3
Thermotoga_neapolitana	1	0	0	0
Thermosipho_africanus	0	0	1	0
Actinomyces_odontolyticus	0	1	0	0
Bifidobacterium_bifidum	1	0	0	0
Bifidobacterium_asteroides	1	0	0	0
Bifidobacterium_breve	1	1	0	0
Bifidobacterium_catenulatum	0	1	0	0
Bifidobacterium_minimum	0	0	1	0
Micrococcus_lylae	0	0	1	0
Arthrobacter_oxydans	0	1	0	0
[Cellvibrio]_gilvus	145	156	189	143
Cellulomonas_gelida	1	0	0	0
Cellulomonas_uda	1	0	0	0
Dermatophilus_congolensis	1	0	0	1
Brevibacterium_sp.	0	1	1	1
Curtobacterium_citreum	1	0	0	0
Kytococcus_sedentarius	1	0	0	0
Tropheryma_whipplei	0	0	0	1
Corynebacterium_pseudotuberculosis	0	0	1	0
Mycobacterium_komossense	1	0	0	0
Mycobacterium_fallax	0	0	1	0
Mycobacterium_gadium	0	0	1	0
Mycobacterium_bovis	0	0	1	0
Rhodococcus_fascians	1	0	0	0
Gordonia_bronchialis	0	0	1	0
Actinoplanes_utahensis	0	0	0	1
Micromonospora_zionensis	1	0	0	0
Aeromicrobium_erythreum	0	0	0	1
Saccharopolyspora_hordei	0	0	0	1
Pseudonocardia_nitrificans	1	0	0	0
Saccharomonospora_viridis	0	0	0	1
Streptomyces_albogriseolus	0	0	0	2
Streptomyces_clavuligerus	1	1	0	0
Streptomyces_lincolnensis	0	0	0	1
Streptomyces_olivaceoviridis	0	1	0	0
Streptomyces_violaceoruber	1	0	0	0
Streptomyces_albireticuli	1	0	0	0
Streptomyces_jumonjinensis	0	0	0	1
Streptomyces_thermoviolaceus	0	0	0	1
Streptomyces_vinaceus	1	0	0	0
Streptomyces_virginiae	1	0	0	0
Streptomyces_noursei	0	0	1	0
Streptomyces_roseiscleroticus	0	0	0	1
Streptosporangium_carneum	0	0	1	0
Actinomadura_rugatobispora	0	0	1	0
Nocardiopsis_prasina	1	0	1	0
Frankia_sp.	0	0	0	1
Frankia_sp._FaC1	0	0	0	1
bacterium_Ellin6023	0	1	0	0
Atopobium_minutum	0	1	0	0
Atopobium_rimae	0	0	0	1
Gemmata_obscuriglobus	15	7	5	8
Pirellula_sp.	6	2	1	14
Pirellula_staleyi	3	4	8	12
Isosphaera_pallida	5	3	4	11
Blastopirellula_marina	5	4	1	8
Gimesia_maris	6	4	6	14
Planctopirus_limnophilus	7	3	4	15
Rubinisphaera_brasiliensis	5	8	4	8
Spirochaeta_aurantia	3	1	1	14
Spirochaeta_bajacaliforniensis	7	7	5	6
Spirochaeta_halophila	2	4	1	2
Spirochaeta_isovalerica	4	5	4	2
Spirochaeta_litoralis	5	4	4	2
Spirochaeta_thermophila	5	2	1	6
Treponema_stenostrepta	5	3	3	9
Treponema_zuelzerae	6	4	3	10
Treponema_denticola	10	2	3	8
Treponema_pallidum	4	1	3	8
Treponema_phagedenis	3	5	2	9
Treponema_bryantii	4	2	1	6
Treponema_pectinovorum	3	2	1	11
Treponema_saccharophilum	5	1	0	7
Treponema_sp.	3	3	1	8
Treponema_succinifaciens	5	2	2	6
wall-less_spirochete	2	2	2	3
Borrelia_hermsii	4	3	2	9
Borrelia_parkeri	7	2	2	12
Borrelia_turicatae	2	7	1	7
Borrelia_anserina	2	1	5	5
Borrelia_coriaceae	2	3	7	7
Borrelia_sp.	6	3	3	4
Borrelia_burgdorferi	6	6	5	8
Brachyspira_hyodysenteriae	4	6	3	4
Leptospira_biflexa	5	1	5	10
Leptospira_interrogans	3	2	1	5
Leptospira_borgpetersenii	5	2	1	6
Leptospira_sp.	3	0	0	6
Leptospira_sp._D-MZ07-7E	0	0	0	1
Leptonema_illini	3	3	0	3
Synergistes_jonesii	0	0	0	1
Mycoplasma_hyopneumoniae	0	0	0	1
Mycoplasma_sp.	1	0	0	0
Mycoplasma_agalactiae	0	0	0	2
Mycoplasma_arthritidis	1	0	0	0
Mycoplasma_lipophilum	1	0	0	0
Mycoplasma_mobile	0	0	0	1
Mycoplasma_putrefaciens	0	0	0	1
Anaeroplasma_abactoclasticum	0	0	1	0
Anaeroplasma_bactoclasticum	0	0	1	0
Sulfolobus_solfataricus	0	0	0	1
Acidianus_ambivalens	0	1	0	0
Desulfurococcus_mucosus	0	0	1	0
Methanopyrus_kandleri	1	0	1	0
Methanogenium_organophilum	0	1	0	0
Methanoculleus_thermophilus	0	0	1	0
Methanosarcina_acetivorans	0	0	0	1
Methanohalobium_evestigatum	1	0	0	0
Cyanidium_caldarium	0	0	1	0
Mazzaella_sp.	0	0	0	1
Batrachospermum_ectocarpum	0	1	0	0
Chlamydomonas_reinhardtii	0	1	0	0
Characium_saccatum	0	1	0	0
Physcomitrella_patens	0	1	0	1
Ceratodon_purpureus	0	1	0	0
Anthoceros_punctatus	0	0	0	1
Sagittaria_sagittifolia	1	0	0	0
Arum_maculatum	0	1	0	0
Ravenala_madagascariensis	0	1	0	0
Festuca_pratensis	0	0	1	0
Carex_baccans	0	1	0	0
Iris_ventricosa	0	0	1	0
Lambertia_inermis	0	0	0	1
Nelumbo_lutea	1	0	0	0
Beta_corolliflora	1	0	0	0
Dianthus_caryophyllus	1	0	0	0
Mollugo_verticillata	0	0	0	1
Persicaria_setacea	1	0	0	0
Drosophyllum_lusitanicum	1	0	0	0
Pereskia_aculeata	0	1	0	0
Paeonia_rockii	0	1	0	0
Dendrotrophe_varians	0	0	0	1
Dendrophthora_domingensis	0	0	0	1
Cornus_racemosa	0	0	0	1
Cornus_mas	0	0	1	0
Bertholletia_excelsa	0	0	0	1
Anagallis_arvensis	0	1	0	0
Oligarrhena_micrantha	0	0	0	1
Lyonia_ligustrina	0	1	0	0
Oenanthe_pimpinelloides	0	0	0	1
Weigela_praecox	0	0	0	1
Dubautia_menziesii	1	0	0	0
Ilex_ciliospinosa	0	1	0	0
Solanum_chilense	0	0	0	1
Nicotiana_tabacum	1	0	0	0
Buddleja_thyrsoides	0	1	0	0
Nelsonia_campestris	0	1	0	0
Castanopsis_sp._693	0	0	0	1
Betula_pendula	0	0	0	1
Alnus_incana	1	0	0	0
Populus_nigra	0	0	0	1
Prunus_persica	1	0	0	0
Peraphyllum_ramosissimum	0	0	1	0
Filipendula_purpurea	0	0	0	1
Momordica_charantia	0	1	0	0
Arachis_hypogaea	0	0	1	0
Lupinus_angustifolius	0	1	0	0
Erythrina_corallodendron	0	0	1	0
Macrotyloma_axillare	0	1	0	0
Virgilia_divaricata	1	0	0	0
Pisum_sativum	0	0	0	1
Securidaca_diversifolia	0	0	0	1
Brassica_nigra	1	0	0	0
Brassica_sp.	0	1	0	0
Gossypium_harknessii	0	0	0	1
Pelargonium_zonale	0	0	1	0
Xanthomyrtus_hienghenensis	0	0	1	0
Cinnamomum_camphora	1	0	0	0
Metasequoia_glyptostroboides	0	1	0	0
Abies_magnifica	0	0	1	0
Picea_glauca	0	1	0	0
Pinus_pinea	0	0	0	1
Equisetum_scirpoides	0	0	0	1
Dennstaedtia_sp._Wolf_623	0	0	1	0
Polystichum_munitum	1	1	0	0
Polystichum_talamancanum	1	0	0	0
Osmunda_regalis	0	0	1	0
soil_fungal_sp._DM2-036	1	0	0	0
Penicillium_griseofulvum	0	0	0	1
Penicillium_janthinellum	0	1	0	0
Microsporum_gypseum	1	0	0	0
Fusarium_cf._incarnatum_CaesSaVA2	0	0	0	1
Colletotrichum_lagenaria	0	1	0	0
Neurospora_africana	0	0	1	0
Cryptococcus_flavus	0	0	1	0
Panus_sp._Kay88/65	0	0	0	1
Stereum_complicatum	0	0	0	1
Dacrymyces_deliquescens	0	0	0	1
Sporobolomyces_falcatus	0	0	1	0
Melampsora_lini	0	0	1	0
Tilletia_caries	0	0	1	0
Basidiobolus_magnus	0	1	0	0
Negombata_magnifica	0	1	0	0
Xiphinema_savanicola	0	0	0	1
Nesticus_sp._'Little_Pigeon_River'	0	0	0	1
Histiogaster_sp._HS9	0	0	1	0
Daphnia_galeata_x_Daphnia_hyalina	1	0	0	0
Mantis_religiosa	1	0	0	0
Bemisia_tabaci	0	0	1	0
Drepanopodus_costatus	0	0	1	0
Luciola_cruciata	1	0	0	0
Simulium_decorum	0	0	0	1
Hymenoptera_sp._BOLD:AAB8259	1	0	0	0
Hymenoptera_sp._BOLD:AAM7186	0	1	0	0
Achalarus_toxeus	1	0	0	0
Nerita_quadricolor	0	0	0	1
Euprymna_scolopes	0	1	0	0
Strongylocentrotus_intermedius	0	0	0	1
unidentified_sea_urchin	0	0	1	0
Pyura_stolonifera	1	0	0	0
Thunnus_sp.	1	0	0	0
Sebastes_owstoni	0	1	0	0
Grandisonia_alternans	0	0	0	1
Xenopus_borealis	0	1	0	0
Mniarogekko_chahoua	0	1	0	0
Petrosaurus_mearnsi	1	0	0	0
Varanus_albigularis	0	0	0	1
Bungarus_multicinctus	0	0	0	1
Anthropoides_virgo	0	1	0	0
Parus_major	0	1	0	0
Cissopis_leverianus	0	0	0	1
Didelphis_marsupialis	1	0	0	0
Macaca_sp.	0	1	0	0
Hystrix_africaeaustralis	0	1	0	0
Dipodomys_panamintinus	1	0	0	0
Mus_sp.	0	0	1	0
Pyrocystis_lunula	0	0	1	0
Alexandrium_tamarense	1	0	0	0
Symbiodinium_sp._RM14	0	1	0	0
Oxyrrhis_marina	0	0	1	0
Plasmodium_brasilianum	0	0	0	1
Theileria_buffeli	1	0	0	0
Babesia_rodhaini	0	0	0	1
Enchelys_pelucida	0	0	0	1
Tetrahymena_australis	0	1	0	0
Pleurotricha_lanceolata	1	0	0	0
Spumella_sp._9-20-C4	0	0	1	0
Costaria_costata	1	0	0	0
Euglena_longa	0	1	0	0
Euglena_viridis	0	0	0	1
Leishmania_amazonensis	0	0	1	0
Globorotalia_inflata	0	0	0	1
Amoeba_proteus	1	0	0	0
Francisella_tularensis_subsp._novicida	1	1	1	2
Pseudomonas_chlororaphis_subsp._chlororaphis	1	1	0	1
Klebsiella_pneumoniae_subsp._ozaenae	0	2	0	0
Pectobacterium_carotovorum_subsp._carotovorum	0	0	1	1
Photobacterium_leiognathi_subsp._leiognathi	0	1	0	0
Paenibacillus_larvae_subsp._pulvifaciens	0	1	0	0
Paenibacillus_macquariensis_subsp._macquariensis	1	0	0	0
Lactococcus_lactis_subsp._lactis	0	0	1	0
Treponema_pallidum_subsp._pallidum	4	4	1	5
Treponema_pallidum_subsp._pertenue	6	2	1	3
Atlapetes_schistaceus_taczanowskii	1	0	0	0
Odocoileus_virginianus_virginianus	0	1	0	0
